원료명,Moisture,조단백질,조지방,칼슘,인,조섬유,조회분
말고기,0.7,0.28,0.06,0,0,0,0.01
식용유,0.01,,0.99,,,,
Ground Rice,0.1451,0.0659,0.0103,0.0002,0.0009,0.0024,0.0134
쌀가루,0.1451,0.0659,0.0103,0.0002,0.0009,0.0024,0.0134
생미분,0.1451,0.0659,0.0103,0.0002,0.0009,0.0024,0.0134
알파쌀,0.1451,0.0659,0.0103,0.0002,0.0009,0.0024,0.0134
팽화미,0.1451,0.0659,0.0103,0.0002,0.0009,0.0024,0.0134
보리,0.12,0.1,0.015,0.0002,0.0015,0.06,0.03
Barley,0.12,0.1,0.015,0.0002,0.0015,0.06,0.03
양심장,0.7,0.2,0.05,,,,
양정육-65cl,0.7,0.2,0.05,,,,
양정육-80cl,0.7,0.2,0.05,,,,
양톱밥,0.7,0.2,0.05,,,,
어분,0.0992,0.5711,0.0758,,,0.0013,0.2444
에토시킨,0.1,,,,,,
에톡시킨,0.1,,,,,,
에토시퀸,0.1,,,,,,
에톡시퀸,0.1,,,,,,
연육,0.7863,0.11,0.01,,,,0.0065
연육-실꼬리돔,0.7863,0.11,0.01,,,,0.0065
이산화티타늄,0.1,,,,,,1
TiO2,0.1,,,,,,1
Tio2(계절별),0.1,,,,,,1
프락토올리고당-분말,0.1,,,,,,
프락토올리고당 (분말),0.1,,,,,,
프락토올리고당-액상,0.3,,,,,,
프락토올리고당 (액상),0.3,,,,,,
FOS,0.1,,,,,,
마리골드,0.1,,,,,,
생치즈,0.6,0.1,0.1,0,0,0.01,0.01
치즈(생),0.6,0.1,0.1,0,0,0.01,0.01
치즈분말,0.09,0.37,,,,0.025,0.08
CHEESE SUPREME,0.09,0.37,,,,0.025,0.08
콘글루텐,0.1365,0.622,0.0161,0.001,0.0043,0.0129,0.0299
CORN GLUTEN 60%,0.1365,0.622,0.0161,0.001,0.0043,0.0129,0.0299
CORN GLUTEN,0.1365,0.622,0.0161,0.001,0.0043,0.0129,0.0299
CSL (Corn Steep Liquor) Powder,0.0723,0.3683,0.0021,0.0023,0.0125,0.046,0.1372
콩가루 / 대두분,0.08,0.4,0.01,,,0.04,0.06
콩가루/대두분,,,,,,,
대두분 / 콩가루,,,,,,,
대두분/콩가루,,,,,,,
대두분,,,,,,,
콩가루,,,,,,,
이지바이오텍-대두박,0.08,0.4,0,0,0,0.07,0.07
SPC,0.1,0.65,0.01,,,0.04,0.06
ISP,0.1,0.65,0.01,,,0.04,0.06
분리대두단백,0.1,0.65,0.01,,,0.04,0.06
분리대두단백 / ISP,,,,,,,
농축대두단백,0.1,0.65,0.01,,,0.04,0.06
농축완두단백,0.1,0.5,0.01,,,0.04,0.08
완두분말,0.0948,0.1759,0.0146,0.0006,0.001,0.2037,0.0335
플로필렌글리콜,0.01,0,0,0,0,0,0
플로필렌글리콜(PG)215kg,0.01,0,0,0,0,0,0
PG,0.01,0,0,0,0,0,0
펠릭스 탈지 밀웜분말,0.0193,0.693,0.112,0.0063,0,0,0.047
펠릭스 비탈지 밀웜분말,0.042,0.533,0.285,0.0073,0,0.102,0.036
비탈지밀웜분말,0.042,0.533,0.285,0.0073,0,0.102,0.036
색소-적색40호,0.1,0,0,0,0,0,0
색소-황색4호,0.1,0,0,0,0,0,0
색소-황색5호,0.1,0,0,0,0,0,0
색소-혼합초록색,0.1,0,0,0,0,0,0
색소-청색1호,0.1,0,0,0,0,0,0
유산균,0.1,0,0,0,0,0,0
JS A-Gold,0.1,0,0,0,0,0,0
WPC,0.1,0.8,0.05,,,,
WPC80,0.1,0.8,0.05,,,,
WPC90,0.1,0.9,0.03,,,,
WPC34,0.1,0.34,0.05,,,,
